N,S_approx,relative_error
100,0.62222,34.12331
600,1.00592,6.50066
1100,1.03514,9.59486
1600,0.86721,8.18436
2100,0.98962,4.77531
2600,0.90221,4.47879
3100,0.96945,2.64014
3600,0.97135,2.84084
4100,0.95305,0.90382
4600,0.89545,5.19484
5100,0.91258,3.38085
5600,0.9711,2.8147
6100,0.97413,3.13483
6600,0.95784,1.41018
7100,0.94559,0.11402
7600,0.98327,4.10251
8100,0.94638,0.19764
8600,0.94852,0.42366
9100,0.91555,3.06715
9600,0.94888,0.46196
10100,0.94934,0.51088
10600,0.93156,1.3714
11100,0.91595,3.02476
11600,0.97034,2.73357
12100,0.91636,2.9816
12600,0.93481,1.02811
13100,0.98272,4.04495
13600,0.94842,0.41352
14100,0.94347,0.11037
14600,0.96785,2.46984
15100,0.93044,1.49035
15600,0.96803,2.48893
16100,0.92405,2.16697
16600,0.92058,2.53424
17100,0.92496,2.07102
17600,0.96762,2.44575
18100,0.93711,0.7846
18600,0.94035,0.44119
19100,0.94245,0.21923
19600,0.96761,2.44498
20100,0.94014,0.46392
20600,0.9451,0.06222
21100,0.91268,3.37044
21600,0.93563,0.94097
22100,0.96373,2.03436
22600,0.95315,0.91377
23100,0.95784,1.41018
23600,0.90696,3.97634
24100,0.94572,0.12711
24600,0.9399,0.4887
25100,0.95415,1.01968
25600,0.94645,0.20463
26100,0.95335,0.93521
26600,0.96069,1.71263
27100,0.93654,0.84464
27600,0.92949,1.59072
28100,0.95658,1.27663
28600,0.91418,3.21193
29100,0.94851,0.42234
29600,0.93648,0.85112
30100,0.94511,0.06254
30600,0.91645,2.97181
31100,0.95433,1.03917
31600,0.97389,3.10954
32100,0.95329,0.92884
32600,0.93962,0.51811
33100,0.93577,0.92623
33600,0.95444,1.05014
34100,0.93935,0.54744
34600,0.95365,0.96651
35100,0.94467,0.01621
35600,0.9557,1.18364
36100,0.92971,1.56817
36600,0.9573,1.35291
37100,0.93987,0.49245
37600,0.94507,0.05899
38100,0.96125,1.77171
38600,0.93687,0.8095
39100,0.94828,0.39878
39600,0.94134,0.33655
40100,0.97367,3.08635
40600,0.93685,0.81177
41100,0.94347,0.11106
41600,0.93093,1.43833
42100,0.94441,0.01138
42600,0.93683,0.81382
43100,0.94213,0.2526
43600,0.95373,0.97568
44100,0.94165,0.30361
44600,0.94044,0.43166
45100,0.94823,0.39258
45600,0.94997,0.57753
46100,0.94102,0.37043
46600,0.94988,0.56798
47100,0.93835,0.65347
47600,0.93319,1.1988
48100,0.93113,1.41779
48600,0.9364,0.85964
49100,0.92952,1.58746
49600,0.95703,1.32526
50100,0.94351,0.10674
50600,0.94316,0.14343
51100,0.93856,0.63061
51600,0.94828,0.39813
52100,0.94575,0.13005
52600,0.95864,1.4952
53100,0.94926,0.50228
53600,0.93066,1.46764
54100,0.94161,0.30823
54600,0.94164,0.30419
55100,0.94462,0.01063
55600,0.93724,0.77027
56100,0.94586,0.14197
56600,0.94025,0.4517
57100,0.9415,0.31968
57600,0.92987,1.55094
58100,0.93739,0.7541
58600,0.95807,1.43437
59100,0.92975,1.56394
59600,0.95869,1.50095
60100,0.92691,1.86455
60600,0.94924,0.50001
61100,0.92589,1.97203
61600,0.93959,0.52191
62100,0.95206,0.79877
62600,0.95489,1.09863
63100,0.94121,0.34975
63600,0.93293,1.22639
64100,0.93789,0.70193
64600,0.9313,1.39911
65100,0.9274,1.81236
65600,0.93162,1.36572
66100,0.93916,0.56705
66600,0.93342,1.17507
67100,0.94288,0.17374
67600,0.93701,0.79516
68100,0.93351,1.16561
68600,0.95591,1.20619
69100,0.94647,0.20694
69600,0.96014,1.65455
70100,0.93865,0.62111
70600,0.94267,0.19587
71100,0.95153,0.74224
71600,0.95766,1.39123
72100,0.9417,0.29868
72600,0.95355,0.95649
73100,0.95954,1.59069
73600,0.93688,0.80903
74100,0.95155,0.74422
74600,0.94258,0.20476
75100,0.94376,0.0797
75600,0.93555,0.94968
76100,0.9469,0.25204
76600,0.94275,0.18735
77100,0.94696,0.25903
77600,0.94896,0.47045
78100,0.94392,0.06311
78600,0.9361,0.89161
79100,0.93301,1.21827
79600,0.9506,0.64403
80100,0.93783,0.70795
80600,0.94552,0.10642
81100,0.94859,0.4315
81600,0.93912,0.5714
82100,0.94659,0.21923
82600,0.93777,0.71441
83100,0.96185,1.83538
83600,0.93861,0.62548
84100,0.94361,0.09615
84600,0.95392,0.99536
85100,0.94385,0.07024
85600,0.94183,0.28454
86100,0.94503,0.05453
86600,0.94439,0.01348
87100,0.94375,0.08071
87600,0.95755,1.37942
88100,0.95374,0.97604
88600,0.9584,1.46944
89100,0.938,0.68959
89600,0.94749,0.31491
90100,0.93029,1.50666
90600,0.93545,0.95955
91100,0.95976,1.61354
91600,0.93842,0.64557
92100,0.95474,1.08246
92600,0.95725,1.34767
93100,0.9493,0.50618
93600,0.94456,0.00448
94100,0.94721,0.28519
94600,0.94556,0.11029
95100,0.95459,1.06635
95600,0.93599,0.90243
96100,0.95281,0.8784
96600,0.94279,0.18249
97100,0.95236,0.83001
97600,0.94805,0.37421
98100,0.9365,0.8492
98600,0.93667,0.83085
99100,0.95072,0.6564
99600,0.93407,1.10559
